Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,9289.740234,9333.919922,8893.150391,8943.519531,8943.519531,167900
2019-05-07,9011.519531,9160.519531,8928.570313,9089.459961,9089.459961,130700
2019-05-08,8899.910156,9167.809570,8873.440430,9002.530273,9002.530273,121100
2019-05-09,8919.500000,9012.240234,8860.169922,8877.309570,8877.309570,101700
2019-05-10,8988.919922,9238.549805,8820.589844,9235.389648,9235.389648,145100
2019-05-13,9112.519531,9191.070313,9059.320313,9103.360352,9103.360352,106400
2019-05-14,8998.969727,9142.459961,8996.919922,9038.360352,9038.360352,100800
2019-05-15,9125.269531,9282.959961,9123.900391,9259.030273,9259.030273,110600
2019-05-16,9247.990234,9307.219727,9211.750000,9293.320313,9293.320313,117300
2019-05-17,9299.459961,9303.049805,8964.370117,9000.190430,9000.190430,135800
2019-05-20,8980.799805,8994.179688,8792.839844,8916.110352,8916.110352,113900
2019-05-21,8920.459961,9120.690430,8892.150391,9087.519531,9087.519531,118300
2019-05-22,9068.990234,9132.370117,8986.530273,9041.219727,9041.219727,111500
2019-05-23,8997.250000,8997.250000,8789.410156,8809.530273,8809.530273,111300
2019-05-24,8788.169922,8880.809570,8745.599609,8776.769531,8776.769531,93000
2019-05-27,8795.139648,9003.870117,8732.980469,8979.830078,8979.830078,117200
2019-05-28,8979.580078,9082.700195,8946.700195,9035.690430,9035.690430,109700
2019-05-29,8971.219727,9077.509766,8956.719727,9010.360352,9010.360352,96400
2019-05-30,8974.400391,8974.400391,8845.830078,8943.349609,8943.349609,105900
2019-05-31,8939.410156,9016.160156,8892.120117,8922.690430,8922.690430,95700
2019-06-03,8953.370117,9012.080078,8826.750000,8856.990234,8856.990234,107300
2019-06-04,8854.500000,8868.089844,8697.490234,8748.269531,8748.269531,95400
2019-06-05,8831.129883,8851.120117,8729.209961,8746.049805,8746.049805,87600
2019-06-06,8741.830078,8741.830078,8557.580078,8584.940430,8584.940430,93000
2019-06-10,8621.730469,8748.969727,8582.480469,8711.790039,8711.790039,86800
2019-06-11,8721.269531,9045.120117,8718.469727,9037.669922,9037.669922,134600
2019-06-12,9008.559570,9038.870117,8930.910156,8954.719727,8954.719727,114800
2019-06-13,8948.580078,8974.799805,8866.219727,8951.610352,8951.610352,97300
2019-06-14,8956.919922,8994.160156,8801.330078,8810.129883,8810.129883,104500
2019-06-17,8807.839844,8864.769531,8753.419922,8780.870117,8780.870117,76400
2019-06-18,8785.769531,8839.230469,8722.929688,8804.320313,8804.320313,70500
2019-06-19,9051.849609,9084.179688,8923.440430,8925.730469,8925.730469,112500
2019-06-20,8923.570313,9183.150391,8900.750000,9134.959961,9134.959961,134900
2019-06-21,9181.639648,9252.549805,9158.320313,9214.269531,9214.269531,143100
2019-06-24,9220.230469,9251.480469,9171.349609,9212.120117,9212.120117,104900
2019-06-25,9206.179688,9206.179688,9004.759766,9118.099609,9118.099609,105700
2019-06-26,9064.129883,9164.280273,9040.320313,9122.429688,9122.429688,77200
2019-06-27,9154.040039,9274.419922,9152.629883,9239.480469,9239.480469,96500
2019-06-28,9236.059570,9236.059570,9126.889648,9178.309570,9178.309570,86400
2019-07-01,9384.790039,9530.459961,9339.769531,9530.459961,9530.459961,153600
2019-07-02,9516.419922,9560.519531,9483.160156,9545.519531,9545.519531,131300
2019-07-03,9519.799805,9520.379883,9376.309570,9419.839844,9419.839844,104300
